"longitude","latitude","landuse","mean_temp","mean_pres","site_id","MOCH","MOBL","LEWO","BBMW","Evergreen_forest","Open_shrub","Wood_sav","Sav","Grass","crop","urban"
-123.0052471,38.4305975,1,124.75,110.416664123535,103,0,0,0,0,1,0,0,0,0,0,0
-123.038719,39.135931,8,122.5,93.0833358764648,104,0,0,0,0,0,0,1,0,0,0,0
-123.0137283,39.1745301,1,134.83332824707,86,105,0,0,0,0,1,0,0,0,0,0,0
-123.0065775,40.3801265,1,104.5,86.6666641235352,106,0,0,0,0,1,0,0,0,0,0,0
-123.0472934,40.7092124,8,134.16667175293,83.1666641235352,107,0,0,0,0,0,0,1,0,0,0,0
-123.0437046,40.7290505,8,129,82.4166641235352,108,0,0,0,0,0,0,1,0,0,0,0
-123.0253315,40.9746493,8,51.25,100.333335876465,109,0,0,0,0,0,0,1,0,0,0,0
-122.9548109,38.0842687,10,128.25,80.3333358764648,112,0,0,0,0,0,0,0,0,1,0,0
-122.9544713,38.1896823,12,127.25,87.5833358764648,113,0,0,0,0,0,0,0,0,0,1,0
-122.9799592,38.3837689,8,126.416664123535,108,114,0,0,0,0,0,0,1,0,0,0,0
-122.9521394,38.5010605,1,137.33332824707,86.9166641235352,115,0,0,0,0,1,0,0,0,0,0,0
-122.9898834,38.8199161,8,142.75,88,116,0,0,0,0,0,0,1,0,0,0,0
-122.9952693,39.1267478,8,136.83332824707,81,117,0,0,0,0,0,0,1,0,0,0,0
-122.9812145,39.1756196,8,135,82.75,118,0,0,0,0,0,0,1,0,0,0,0
-122.975764,39.408095,1,131.83332824707,83.4166641235352,119,0,0,0,0,1,0,0,0,0,0,0
-122.9602289,39.4426891,8,132.75,81.4166641235352,120,0,0,0,0,0,0,1,0,0,0,0
-122.9616,39.513,12,88.25,111.25,121,1,0,0,0,0,0,0,0,0,1,0
-122.9557918,39.5440435,1,62.75,126.166664123535,122,0,0,0,0,1,0,0,0,0,0,0
-122.9711723,39.6154083,1,59.75,127.25,123,0,0,0,0,1,0,0,0,0,0,0
-122.9790473,39.6752262,8,76.5833358764648,116.75,124,0,0,0,0,0,0,1,0,0,0,0
-122.9933167,40.6066547,1,103.25,84.3333358764648,125,0,0,0,0,1,0,0,0,0,0,0
-122.9618222,40.6541441,1,128.08332824707,83.3333358764648,126,0,0,0,0,1,0,0,0,0,0,0
-122.9014778,38.1665499,1,131.91667175293,75.6666641235352,128,0,0,0,0,1,0,0,0,0,0,0
-122.9298019,38.3817673,8,132.33332824707,89.5833358764648,129,0,0,0,0,0,0,1,0,0,0,0
-122.93645,38.6116776,8,139.83332824707,95.8333358764648,130,0,0,0,0,0,0,1,0,0,0,0
-122.90211,38.70771,8,148.08332824707,88,131,0,0,0,0,0,0,1,0,0,0,0
-122.9220484,38.7456624,8,146.83332824707,90,132,0,0,0,0,0,0,1,0,0,0,0
-122.932291,38.8139308,8,142.25,87.25,133,0,0,0,0,0,0,1,0,0,0,0
-122.9072099,38.942508,8,134.41667175293,77.75,134,0,0,0,0,0,0,1,0,0,0,0
-122.9001862,39.1914383,8,139.41667175293,72.5833358764648,135,0,0,0,0,0,0,1,0,0,0,0
-122.9488164,39.2555374,8,137.66667175293,78.6666641235352,136,1,0,0,0,0,0,1,0,0,0,0
-122.948157,39.444706,8,132.83332824707,79.9166641235352,137,0,0,0,0,0,0,1,0,0,0,0
-122.9297161,39.4945036,8,88,110.666664123535,138,1,0,0,0,0,0,1,0,0,0,0
-122.9410458,39.5231799,8,58.6666679382324,128.58332824707,139,0,0,0,0,0,0,1,0,0,0,0
-122.9374409,39.5798934,1,65.9166641235352,123.666664123535,140,0,0,0,0,1,0,0,0,0,0,0
-122.9356492,39.7942186,1,81.6666641235352,111.083335876465,141,1,0,0,0,1,0,0,0,0,0,0
-122.915082,40.3669506,8,116.5,79.5833358764648,142,0,0,0,0,0,0,1,0,0,0,0
-122.9434383,40.6661243,8,131.91667175293,85.1666641235352,143,0,0,0,0,0,0,1,0,0,0,0
-122.938588,40.728815,13,121,83.75,144,0,0,0,0,0,0,0,0,0,0,1
-122.8817368,38.0575532,8,128.08332824707,85.3333358764648,145,0,0,0,0,0,0,1,0,0,0,0
-122.8667378,38.430463,8,136.5,83.6666641235352,147,0,0,0,0,0,0,1,0,0,0,0
-122.8607941,38.5171126,8,140.83332824707,83.9166641235352,148,0,0,0,0,0,0,1,0,0,0,0
-122.87261,38.5426741,12,141.33332824707,86.9166641235352,149,0,0,0,0,0,0,0,0,0,1,0
-122.8677893,38.6107675,13,145.58332824707,88.1666641235352,150,0,0,0,0,0,0,0,0,0,0,1
-122.893896,38.7610574,8,130.5,92.5,151,0,0,0,0,0,0,1,0,0,0,0
-122.8839684,38.8239618,8,127.583335876465,89.9166641235352,152,0,0,0,0,0,0,1,0,0,0,0
-122.8978661,38.9522902,8,135.75,75.5,153,0,0,0,0,0,0,1,0,0,0,0
-122.8505874,39.0245022,8,138.66667175293,68.3333358764648,154,0,0,1,0,0,0,1,0,0,0,0
-122.8992033,39.1995357,8,137.16667175293,73.6666641235352,157,0,0,0,0,0,0,1,0,0,0,0
-122.8557,40.69324,1,132.08332824707,90.4166641235352,158,0,0,0,0,1,0,0,0,0,0,0
-122.88507,40.95044,8,42,102.916664123535,159,0,0,0,0,0,0,1,0,0,0,0
-122.8801918,41.0219735,1,50.6666679382324,95,160,0,0,0,0,1,0,0,0,0,0,0
-122.8025189,38.0433355,8,132.16667175293,78.5,161,0,0,0,0,0,0,1,0,0,0,0
-122.8089523,39.0123815,8,139,66.9166641235352,162,0,0,0,0,0,0,1,0,0,0,0
-122.838401,39.118935,10,138.91667175293,66.9166641235352,164,0,0,0,0,0,0,0,0,1,0,0
-122.8367347,39.3226569,1,126.166664123535,79.75,165,0,0,0,0,1,0,0,0,0,0,0
-122.8348913,40.7003392,8,131.75,91.3333358764648,166,0,0,0,0,0,0,1,0,0,0,0
-122.8066134,40.7457776,1,129.5,92.8333358764648,167,0,0,1,0,1,0,0,0,0,0,0
-122.84042,41.02497,1,54.5,92,168,0,0,0,0,1,0,0,0,0,0,0
-122.8017145,41.203144,1,31.3333339691162,100.25,169,1,0,0,0,1,0,0,0,0,0,0
-122.7599859,38.0502877,8,134.25,75.75,170,0,0,0,0,0,0,1,0,0,0,0
-122.7695212,38.2064264,8,134.5,73.3333358764648,171,0,0,0,0,0,0,1,0,0,0,0
-122.796464,38.2470278,12,133.75,76.0833358764648,172,0,0,0,0,0,0,0,0,0,1,0
-122.7556944,38.394617,12,138.25,70.75,173,0,0,0,0,0,0,0,0,0,1,0
-122.7656829,38.4398083,13,139,73.1666641235352,174,0,0,0,0,0,0,0,0,0,0,1
-122.7897341,38.5629542,8,142.25,85.25,175,0,0,0,0,0,0,1,0,0,0,0
-122.7988243,38.6808197,1,141.91667175293,91.8333358764648,176,0,0,0,0,1,0,0,0,0,0,0
-122.7638947,38.7310645,8,125.583335876465,92.25,177,0,0,0,0,0,0,1,0,0,0,0
-122.773118,38.8537121,8,124.333335876465,87.1666641235352,178,0,0,0,0,0,0,1,0,0,0,0
-122.7691927,39.1360966,1,104.916664123535,99.1666641235352,180,0,0,0,0,1,0,0,0,0,0,0
-122.76604,39.33841,8,93.25,105.916664123535,181,1,0,0,0,0,0,1,0,0,0,0
-122.7931595,40.7451761,1,128.08332824707,92.75,182,0,0,1,0,1,0,0,0,0,0,0
-122.7743626,40.7858056,1,128.33332824707,94.25,183,0,0,0,0,1,0,0,0,0,0,0
-122.7241,38.02416,8,132.75,85,185,0,0,0,0,0,0,1,0,0,0,0
-122.7091581,38.1376916,12,134.75,77.1666641235352,186,0,0,0,0,0,0,0,0,0,1,0
-122.7141037,38.4405098,13,139,70.0833358764648,187,0,0,0,0,0,0,0,0,0,0,1
-122.7097203,38.4810441,8,138.91667175293,84.25,188,0,0,0,0,0,0,1,0,0,0,0
-122.7097321,38.5877594,8,136.91667175293,96.1666641235352,189,0,0,0,0,0,0,1,0,0,0,0
-122.716383,38.817986,1,119.75,91.4166641235352,190,0,0,0,0,1,0,0,0,0,0,0
-122.7419701,38.8604587,8,120.25,90.25,191,0,0,0,0,0,0,1,0,0,0,0
-122.7138627,38.9660555,1,135.33332824707,67.5,192,0,0,0,0,1,0,0,0,0,0,0
-122.7255893,39.1789131,8,130.58332824707,70.9166641235352,193,0,0,0,0,0,0,1,0,0,0,0
-122.7450728,39.3627549,8,64.1666641235352,124.583335876465,194,1,0,0,0,0,0,1,0,0,0,0
-122.7303314,39.6532841,1,94.5,101,195,1,0,0,0,1,0,0,0,0,0,0
-122.743463,41.229004,1,46.1666679382324,86.8333358764648,196,0,0,0,0,1,0,0,0,0,0,0
-122.6592636,38.2141763,8,137.66667175293,70.5,199,0,0,0,0,0,0,1,0,0,0,0
-122.6725325,38.3432319,8,139.5,64.4166641235352,200,0,0,0,0,0,0,1,0,0,0,0
-122.6985097,38.4146439,9,139.25,69.3333358764648,201,0,0,0,0,0,0,0,1,0,0,0
-122.6523972,38.454933,8,141.25,72.5833358764648,202,0,0,0,0,0,0,1,0,0,0,0
-122.6614952,38.5249358,8,139.08332824707,90.4166641235352,203,0,0,0,0,0,0,1,0,0,0,0
-122.6909781,38.5701797,8,136.66667175293,95.9166641235352,204,0,0,0,0,0,0,1,0,0,0,0
