"species","lat","long"
"House_Wren",37.611889,-121.687035
"House_Wren",37.5009412,-121.5387943
"House_Wren",37.649438,-121.721714
"House_Wren",37.6286278,-121.7490158
"House_Wren",37.6015831,-121.6515758
"House_Wren",37.606181,-121.7350388
"House_Wren",37.5977749,-121.6429928
"House_Wren",37.6446846,-122.1583557
"House_Wren",37.6138298,-122.0211862
"House_Wren",37.509918,-121.828294
"House_Wren",37.5541354,-122.0806466
"House_Wren",37.6196692,-122.0245531
"House_Wren",37.48831,-121.8303108
"House_Wren",37.5470646,-121.5697132
"House_Wren",37.5077502,-121.8961933
"House_Wren",37.6501428,-121.7215635
"House_Wren",37.5980356,-121.6896789
"House_Wren",37.5472994,-121.9624901
"House_Wren",37.5650637,-121.6848038
"House_Wren",37.6303596,-122.1038138
"House_Wren",37.6099997,-122.0166782
"House_Wren",37.5545637,-122.0881107
"House_Wren",37.6501213,-122.1405029
"House_Wren",37.6698942,-121.879406
"House_Wren",37.836727,-122.227725
"House_Wren",37.5501575,-122.0914078
"House_Wren",37.8840669,-122.2855568
"House_Wren",37.4891956,-122.0831325
"House_Wren",37.5510535,-122.0866934
"House_Wren",37.7194413,-121.7413259
"House_Wren",37.892331,-122.3117995
"House_Wren",37.8591324,-122.2759941
"House_Wren",37.5536959,-122.0889938
"House_Wren",37.549776,-122.088589
"House_Wren",37.5465009,-122.0822754
"House_Wren",37.5327708,-122.0698932
"House_Wren",37.5939677,-121.6309261
"House_Wren",37.6293916,-121.7058563
"House_Wren",37.6276412,-122.0283437
"House_Wren",37.53202,-121.697861
"House_Wren",37.5534535,-121.5730441
"House_Wren",37.5088258,-121.5400207
"House_Wren",37.4993081,-121.5374565
"House_Wren",37.616662,-121.6959
"House_Wren",37.51096,-121.82747
"House_Wren",37.5853642,-121.8854785
"House_Wren",37.53891,-121.71259
"House_Wren",37.577392,-121.6968066
"House_Wren",37.55797,-121.866904
"House_Wren",37.575005,-121.691986
"House_Wren",37.6162711,-122.007637
"House_Wren",37.5291957,-121.9145107
"House_Wren",37.60818,-122.01751
"House_Wren",37.505164,-121.5394306
"House_Wren",37.5070053,-122.0678373
"House_Wren",37.7525975,-122.2473836
"House_Wren",37.86972,-122.22294
"House_Wren",37.66758,-121.7245
"House_Wren",37.55366,-122.09043
"House_Wren",37.6544365,-122.0429993
"House_Wren",37.8100637,-121.5597591
"House_Wren",37.6540967,-122.1544504
"House_Wren",37.728525,-121.9124159
"House_Wren",37.5532664,-122.0905334
"House_Wren",37.8981238,-122.3047308
"House_Wren",37.8173362,-122.1806147
"House_Wren",37.55118,-122.08639
"House_Wren",37.55336,-122.09075
"House_Wren",37.64534,-122.14852
"House_Wren",37.550758,-122.088578
"House_Wren",37.5546485,-122.0545006
"House_Wren",37.5511782,-122.0863867
"House_Wren",37.6910881,-122.0530415
"House_Wren",37.8541865,-122.2513425
"House_Wren",37.896885,-122.302989
"House_Wren",37.8043289,-122.27108
"House_Wren",37.8977963,-122.2809945
"House_Wren",37.7506464,-122.2110772
"House_Wren",37.79873,-122.2632194
"House_Wren",37.8693484,-122.2446907
"House_Wren",37.5710454,-121.8636131
"House_Wren",37.5682483,-122.0619464
"House_Wren",37.632627,-121.706818
"House_Wren",37.553612,-122.089965
"House_Wren",37.8712117,-122.2387791
"House_Wren",37.569081,-121.6873705
"House_Wren",37.621941,-121.701881
"House_Wren",37.6465875,-121.7216492
"House_Wren",37.660142,-121.732883
"House_Wren",37.51344,-121.541
"House_Wren",37.5601089,-121.5812302
"House_Wren",37.6275523,-122.0292127
"House_Wren",37.5913833,-121.7168427
"House_Wren",37.6119197,-121.6865444
"House_Wren",37.6444127,-121.6234589
"House_Wren",37.5087295,-121.8292809
"House_Wren",37.5728,-121.587982
"House_Wren",37.56834,-121.58154
"House_Wren",37.515705,-121.543396
"House_Wren",37.5380996,-121.5653019
"House_Wren",37.6526946,-122.0258331
"House_Wren",37.5107119,-121.5406933
"House_Wren",37.867735,-122.241265
"House_Wren",37.8530559,-122.2259635
"House_Wren",37.699897,-121.825146
"House_Wren",37.7974685,-122.2447403
"House_Wren",37.5816572,-122.1195602
"House_Wren",37.598135,-121.890476
"House_Wren",37.8257008,-122.2518227
"House_Wren",37.687293,-121.7698297
"House_Wren",37.7986791,-122.2619104
"House_Wren",37.79,-122.143
"House_Wren",37.607334,-122.017347
"House_Wren",37.5747869,-122.0059204
"House_Wren",37.8221708,-122.1864653
"House_Wren",37.5276997,-121.8131906
"House_Wren",37.528608,-121.892581
"House_Wren",37.577639,-121.865357
"House_Wren",37.753741,-122.117849
"House_Wren",37.5397978,-121.8975163
"House_Wren",37.5751951,-121.9316769
"House_Wren",37.7536047,-122.1480453
"House_Wren",37.5740171,-121.6867161
"House_Wren",37.5141768,-121.8280095
"House_Wren",37.7244154,-122.1024199
"House_Wren",37.7282402,-122.095055
"House_Wren",37.5699972,-121.9546473
"House_Wren",37.5667275,-121.6868234
"House_Wren",37.77794,-122.1280146
"House_Wren",37.670862,-121.843487
"House_Wren",37.6328152,-121.7084742
"House_Wren",37.868637,-122.2357643
"House_Wren",37.644447,-121.718399
"House_Wren",37.572888,-121.687023
"House_Wren",37.8697211,-122.2229433
"House_Wren",37.5715638,-121.672875
"House_Wren",37.6346086,-122.0414329
"House_Wren",37.8467336,-122.2303775
"House_Wren",37.575664,-121.697237
"House_Wren",37.5575524,-122.0492113
"House_Wren",37.6070242,-122.0079803
"House_Wren",37.8922056,-122.2873861
"House_Wren",37.757306,-122.1379977
"House_Wren",37.715998,-122.122704
"House_Wren",37.5299677,-121.8154943
"House_Wren",37.7951354,-122.2603226
"House_Wren",37.5797101,-121.965639
"House_Wren",37.890326,-122.314765
"House_Wren",37.8161369,-122.1817064
"House_Wren",37.614126,-121.88428
"House_Wren",37.7408393,-122.2077513
"House_Wren",37.8613116,-122.2389358
"House_Wren",37.627343,-122.006048
"House_Wren",37.693355,-121.884631
"House_Wren",37.5064577,-121.8122864
"House_Wren",37.60889,-121.675965
"House_Wren",37.5551249,-121.8591928
"House_Wren",37.483129,-121.532379
"House_Wren",37.5086365,-121.8248177
"House_Wren",37.605162,-121.670081
"House_Wren",37.6130841,-122.0231295
"House_Wren",37.56509,-121.58227
"House_Wren",37.6657407,-122.0732117
"House_Wren",37.5270508,-121.9084311
"House_Wren",37.8734137,-122.226913
"House_Wren",37.581523,-121.591471
"House_Wren",37.65324,-121.724027
"House_Wren",37.63067,-121.70746
"House_Wren",37.603176,-121.657009
"House_Wren",37.619532,-121.752609
"House_Wren",37.694881,-121.718484
"House_Wren",37.569711,-121.955842
"House_Wren",37.5696511,-121.9560774
"House_Wren",37.8119539,-122.2213125
"House_Wren",37.5083471,-121.8283818
"House_Wren",37.8007634,-122.1447375
"House_Wren",37.754082,-122.1564232
"House_Wren",37.568683,-121.957931
"House_Wren",37.5704734,-121.9570935
"House_Wren",37.6458739,-121.6283083
"House_Wren",37.6285759,-122.0286173
"House_Wren",37.638637,-121.911366
"House_Wren",37.7656261,-122.2744846
"House_Wren",37.629416,-122.028846
"House_Wren",37.8717199,-122.2240591
"House_Wren",37.5153086,-121.5431643
"House_Wren",37.571558,-121.680676
"House_Wren",37.5006019,-121.5382075
"House_Wren",37.880447,-122.239908
"House_Wren",37.570382,-122.0255
"House_Wren",37.7055365,-122.0557451
"House_Wren",37.553903,-122.09039
"House_Wren",37.8709539,-122.3057897
"House_Wren",37.8654693,-122.3065209
"House_Wren",37.8340285,-122.2387469
"House_Wren",37.6369257,-121.7786554
"House_Wren",37.8393943,-122.3118854
"House_Wren",37.5858187,-121.885221
"House_Wren",37.855813,-122.2977448
"House_Wren",37.871777,-122.262902
"House_Wren",37.895374,-122.278424
"House_Wren",38.6978322,-119.7738115
"House_Wren",38.6750343,-119.6223028
"House_Wren",38.4361583,-119.7525242
"House_Wren",38.7460172,-119.7780132
"House_Wren",38.7508397,-119.7855539
"House_Wren",38.6967646,-120.0235748
"House_Wren",38.7024584,-119.8392105
"House_Wren",38.6935826,-119.9884272
"House_Wren",38.6989752,-119.9688148
"House_Wren",38.664067,-119.6218872
"House_Wren",38.4180904,-119.7487879
"House_Wren",38.6966206,-120.0463166
"House_Wren",38.6605306,-119.6846226
"House_Wren",38.6945372,-119.7799659
"House_Wren",38.7953028,-119.7585297
"House_Wren",38.699712,-120.0727558
"House_Wren",38.68594,-120.00872
"House_Wren",38.6580351,-120.0175667
"House_Wren",38.6542817,-119.9658966
"House_Wren",38.5868201,-119.7949219
"House_Wren",38.7080177,-120.0496674
"House_Wren",38.8065822,-119.779762
"House_Wren",38.6667477,-119.6507263
"House_Wren",38.6687291,-120.0109057
"House_Wren",38.7021674,-119.9701564
"House_Wren",38.5911138,-119.7846222
"House_Wren",38.6643351,-119.6960449
"House_Wren",38.722136,-119.8062998
"House_Wren",38.6179435,-119.6507263
"House_Wren",38.8280575,-119.7870671
"House_Wren",38.629745,-119.723511
"House_Wren",38.775499,-119.821444
"House_Wren",38.820652,-119.776812
"House_Wren",38.776815,-119.759272
"House_Wren",38.8084633,-119.7775626
"House_Wren",38.7836085,-119.7554398
"House_Wren",38.4747415,-119.9766405
"House_Wren",38.667175,-119.9686432
"House_Wren",38.8099514,-119.7756529
"House_Wren",38.670128,-120.0386467
"House_Wren",38.7738596,-119.8215294
"House_Wren",38.7761765,-119.8235035
"House_Wren",38.7235548,-119.9716473
"House_Wren",38.7757885,-119.8238578
"House_Wren",38.4795291,-119.9990273
"House_Wren",38.6386625,-119.9516916
"House_Wren",38.6758909,-120.0051728
"House_Wren",38.8159037,-119.7743225
